,subj_key_resp,subj_key_resp_last,rxn_time,corr_resp,corr_resp_left,running_time,hit,miss,wrong,total_hits,total_wrong,total_skipped,percent_accuracy,avg_rxn_time
36,"[('1', 0.8291467999806628)]",1,0.8291467999806628,1,6,142.28551419998985,1,0,0,37,0,0,100.0,1.023399410810246
37,"[('2', 1.260936600039713)]",2,1.260936600039713,2,7,,1,0,0,38,0,0,100.0,1.0296503894741793
38,"[('2', 1.2785320000257343)]",2,1.2785320000257343,2,7,,1,0,0,39,0,0,100.0,1.0360319692319115
39,"[('1', 1.2281603999435902)]",1,1.2281603999435902,1,6,,1,0,0,40,0,0,100.0,1.0408351799997035
40,"[('2', 1.5280385999940336)]",2,1.5280385999940336,2,7,,1,0,0,41,0,0,100.0,1.0527181902434677
41,"[('1', 1.3114146000007167)]",1,1.3114146000007167,1,6,,1,0,0,42,0,0,100.0,1.0588776285710213
42,"[('2', 1.3283489999594167)]",2,1.3283489999594167,2,7,160.3367631000001,1,0,0,43,0,0,100.0,1.065144404649821
43,"[('1', 0.8945790999568999)]",1,0.8945790999568999,1,6,,1,0,0,44,0,0,100.0,1.0612679204522548
44,"[('1', 1.1123256999999285)]",1,1.1123256999999285,1,6,,1,0,0,45,0,0,100.0,1.0624025377755364
45,"[('2', 0.850040499935858)]",2,0.850040499935858,2,7,,1,0,0,46,0,0,100.0,1.0577859717355433
46,"[('1', 0.70974349998869)]",1,0.70974349998869,1,6,,1,0,0,47,0,0,100.0,1.050380812762206
47,"[('2', 0.8126870000269264)]",2,0.8126870000269264,2,7,,1,0,0,48,0,0,100.0,1.0454288583302211
48,"[('2', 0.8476160999853164)]",2,0.8476160999853164,2,7,195.37828860001173,1,0,0,49,0,0,100.0,1.0413918632619577
49,"[('2', 0.9093015999533236)]",2,0.9093015999533236,2,7,,1,0,0,50,0,0,100.0,1.0387500579957851
50,"[('1', 0.9942064998904243)]",1,0.9942064998904243,1,6,,1,0,0,51,0,0,100.0,1.03787665489568
51,"[('2', 1.3775042000925168)]",2,1.3775042000925168,2,7,,1,0,0,52,0,0,100.0,1.044407953841773
52,"[('1', 1.0616236999630928)]",1,1.0616236999630928,1,6,,1,0,0,53,0,0,100.0,1.0447327792402885
53,"[('1', 1.1605965999187902)]",1,1.1605965999187902,1,6,,1,0,0,54,0,0,100.0,1.0468784055491496
54,"[('1', 1.1084389999741688)]",1,1.1084389999741688,1,6,213.44879689998925,1,0,0,55,0,0,100.0,1.0479976890841498
55,"[('2', 1.4988550000125542)]",2,1.4988550000125542,2,7,,1,0,0,56,0,0,100.0,1.0560487124935858
56,"[('2', 1.6285218999255449)]",2,1.6285218999255449,2,7,,1,0,0,57,0,0,100.0,1.066092101746778
57,"[('1', 1.7452096999622881)]",1,1.7452096999622881,1,6,,1,0,0,58,0,0,100.0,1.0778010258539419
58,"[('2', 1.2938605999806896)]",2,1.2938605999806896,2,7,,1,0,0,59,0,0,100.0,1.0814630525340563
59,"[('1', 2.1148058000253513)]",1,2.1148058000253513,1,6,,1,0,0,60,0,0,100.0,1.0986854316589112
60,"[('2', 1.4808818999445066)]",2,1.4808818999445066,2,7,231.4785508000059,1,0,0,61,0,0,100.0,1.1049509475324455
61,"[('1', 1.34425649989862)]",1,1.34425649989862,1,6,,1,0,0,62,0,0,100.0,1.1088107145060935
62,"[('1', 0.8286012000171468)]",1,0.8286012000171468,1,6,,1,0,0,63,0,0,100.0,1.1043629444348404
