,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
42,"[('1', 0.46925199998077005)]",1,0.46925199998077005,1.0,7.0,,1,0,0,0,11,25,2,1,92.3076923076923,91.66666666666667,5.128205128205129,2.9668762230654604
43,,,,0.0,0.0,,0,1,0,0,11,26,2,1,92.5,91.66666666666667,5.0,2.9668762230654604
44,,,,,,193.03207780001685,0,0,0,0,11,26,2,1,92.5,91.66666666666667,5.0,2.9668762230654604
45,"[('1', 0.6085073000285774)]",1,0.6085073000285774,1.0,7.0,,1,0,0,0,12,26,2,1,92.6829268292683,92.3076923076923,4.878048780487805,2.7984212999913973
46,,,,0.0,0.0,,0,1,0,0,12,27,2,1,92.85714285714286,92.3076923076923,4.761904761904762,2.7984212999913973
47,"[('1', 0.6919131999602541)]",1,0.6919131999602541,1.0,7.0,,1,0,0,0,13,27,2,1,93.02325581395348,92.85714285714286,4.651162790697675,2.6579874266559878
48,,,,0.0,0.0,,0,1,0,0,13,28,2,1,93.18181818181819,92.85714285714286,4.545454545454546,2.6579874266559878
49,,,,0.0,0.0,,0,1,0,0,13,29,2,1,93.33333333333333,92.85714285714286,4.444444444444445,2.6579874266559878
50,,,,0.0,0.0,,0,1,0,0,13,30,2,1,93.47826086956522,92.85714285714286,4.3478260869565215,2.6579874266559878
51,,,,0.0,0.0,,0,1,0,0,13,31,2,1,93.61702127659575,92.85714285714286,4.25531914893617,2.6579874266559878
52,,,,0.0,0.0,,0,1,0,0,13,32,2,1,93.75,92.85714285714286,4.166666666666667,2.6579874266559878
53,"[('1', 0.508982399944216)]",1,0.508982399944216,1.0,7.0,,1,0,0,0,14,32,2,1,93.87755102040816,93.33333333333333,4.081632653061225,2.523674612486502
54,,,,0.0,0.0,,0,1,0,0,14,33,2,1,94.0,93.33333333333333,4.0,2.523674612486502
55,,,,,,241.24683359998744,0,0,0,0,14,33,2,1,94.0,93.33333333333333,4.0,2.523674612486502
56,,,,0.0,0.0,,0,1,0,0,14,34,2,1,94.11764705882354,93.33333333333333,3.9215686274509802,2.523674612486502
57,,,,0.0,0.0,,0,1,0,0,14,35,2,1,94.23076923076923,93.33333333333333,3.8461538461538463,2.523674612486502
58,,,,0.0,0.0,,0,1,0,0,14,36,2,1,94.33962264150944,93.33333333333333,3.7735849056603774,2.523674612486502
59,,,,0.0,0.0,,0,1,0,0,14,37,2,1,94.44444444444444,93.33333333333333,3.7037037037037037,2.523674612486502
60,"[('1', 0.7575935000786558)]",1,0.7575935000786558,1.0,7.0,,1,0,0,0,15,37,2,1,94.54545454545455,93.75,3.6363636363636362,2.4197874882272172
61,"[('1', 2.6886261999607086)]",1,2.6886261999607086,1.0,7.0,,1,0,0,0,16,37,2,1,94.64285714285714,94.11764705882354,3.5714285714285716,2.434722972212411
62,,,,0.0,0.0,,0,1,0,0,16,38,2,1,94.73684210526316,94.11764705882354,3.508771929824561,2.434722972212411
63,,,,0.0,0.0,,0,1,0,0,16,39,2,1,94.82758620689656,94.11764705882354,3.4482758620689653,2.434722972212411
64,,,,0.0,0.0,,0,1,0,0,16,40,2,1,94.91525423728814,94.11764705882354,3.389830508474576,2.434722972212411
65,"[('1', 0.37578739994205534)]",1,0.37578739994205534,1.0,7.0,,1,0,0,0,17,40,2,1,95.0,94.44444444444444,3.3333333333333335,2.3263579420929186
66,,,,,,291.5063741999911,0,0,0,0,17,40,2,1,95.0,94.44444444444444,3.3333333333333335,2.3263579420929186
67,,,,0.0,0.0,,0,1,0,0,17,41,2,1,95.08196721311475,94.44444444444444,3.278688524590164,2.3263579420929186
68,,,,0.0,0.0,,0,1,0,0,17,42,2,1,95.16129032258064,94.44444444444444,3.225806451612903,2.3263579420929186
69,,,,0.0,0.0,,0,1,0,0,17,43,2,1,95.23809523809524,94.44444444444444,3.1746031746031744,2.3263579420929186
70,,,,0.0,0.0,,0,1,0,0,17,44,2,1,95.3125,94.44444444444444,3.125,2.3263579420929186
71,,,,0.0,0.0,,0,1,0,0,17,45,2,1,95.38461538461539,94.44444444444444,3.076923076923077,2.3263579420929186
72,"[('1', 0.6574536000844091)]",1,0.6574536000844091,1.0,7.0,,1,0,0,0,18,45,2,1,95.45454545454545,94.73684210526316,3.0303030303030303,2.242912724992493
73,,,,0.0,0.0,,0,1,0,0,18,46,2,1,95.5223880597015,94.73684210526316,2.985074626865672,2.242912724992493
74,,,,0.0,0.0,,0,1,0,0,18,47,2,1,95.58823529411765,94.73684210526316,2.9411764705882355,2.242912724992493
75,"[('1', 0.44512759998906404)]",1,0.44512759998906404,1.0,7.0,,1,0,0,0,19,47,2,1,95.65217391304348,95.0,2.898550724637681,2.1573039095161395
76,,,,1.0,7.0,,0,0,0,1,19,47,2,2,94.28571428571429,90.47619047619048,2.857142857142857,2.1573039095161395
77,,,,,,337.6351470000809,0,0,0,0,19,47,2,2,94.28571428571429,90.47619047619048,2.857142857142857,2.1573039095161395
78,,,,0.0,0.0,,0,1,0,0,19,48,2,2,94.36619718309859,90.47619047619048,2.816901408450704,2.1573039095161395
79,"[('1', 0.6537329000420868)]",1,0.6537329000420868,1.0,7.0,,1,0,0,0,20,48,2,2,94.44444444444444,90.9090909090909,2.7777777777777777,2.0889597727218643
80,,,,0.0,0.0,,0,1,0,0,20,49,2,2,94.52054794520548,90.9090909090909,2.73972602739726,2.0889597727218643
81,,,,0.0,0.0,,0,1,0,0,20,50,2,2,94.5945945945946,90.9090909090909,2.7027027027027026,2.0889597727218643
82,"[('1', 0.42448290006723255)]",1,0.42448290006723255,1.0,7.0,,1,0,0,0,21,50,2,2,94.66666666666667,91.30434782608695,2.6666666666666665,2.0165912130412282
83,,,,0.0,0.0,,0,1,0,0,21,51,2,2,94.73684210526316,91.30434782608695,2.6315789473684212,2.0165912130412282
84,,,,0.0,0.0,,0,1,0,0,21,52,2,2,94.8051948051948,91.30434782608695,2.5974025974025974,2.0165912130412282
